"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"6894","QB","Aaron","Rodgers","23.1","1","9300","SEA@GB","GB","SEA","","","",""
"11612","WR","Antonio","Brown","23.8","1","9200","SF@PIT","PIT","SF","","","",""
"6703","RB","Adrian","Peterson","6.7","1","9000","DET@MIN","MIN","DET","","","",""
"21939","QB","Andrew","Luck","17.7","1","8900","NYJ@IND","IND","NYJ","","","",""
"6504","QB","Drew","Brees","17.5","1","8900","TB@NO","NO","TB","","","",""
"6899","RB","Matt","Forte","25.1","1","8900","ARI@CHI","CHI","ARI","","","",""
"14190","WR","Julio","Jones","30.6","1","8800","ATL@NYG","ATL","NYG","","","",""
"6728","RB","Jamaal","Charles","18.8","1","8800","DEN@KC","KC","DEN","","","",""
"6616","QB","Matt","Ryan","18.6","1","8700","ATL@NYG","ATL","NYG","","","",""
"31360","WR","Odell","Beckham Jr.","6.9","1","8700","ATL@NYG","NYG","ATL","","","",""
"22015","QB","Russell","Wilson","16.1","1","8500","SEA@GB","SEA","GB","","","",""
"6639","QB","Tony","Romo","24.1","1","8500","DAL@PHI","DAL","PHI","","","",""
"11432","WR","Demaryius","Thomas","9.5","1","8500","DEN@KC","DEN","KC","P","Hand","",""
"9371","RB","Marshawn","Lynch","14.9","1","8500","SEA@GB","SEA","GB","","","",""
"6589","QB","Ben","Roethlisberger","17","1","8400","SF@PIT","PIT","SF","","","",""
"31397","RB","Jeremy","Hill","18.3","1","8400","SD@CIN","CIN","SD","","","",""
"14254","RB","DeMarco","Murray","16","1","8300","DAL@PHI","PHI","DAL","","","",""
"6498","QB","Tom","Brady","27.6","1","8300","NE@BUF","NE","BUF","","","",""
"11460","TE","Rob","Gronkowski","29.9","1","8300","NE@BUF","NE","BUF","","","",""
"14257","WR","Randall","Cobb","12.3","1","8200","SEA@GB","GB","SEA","P","Shoulder","",""
"10777","RB","Arian","Foster","19.6","13","8200","HOU@CAR","HOU","CAR","O","Groin","",""
"29253","WR","Keenan","Allen","24.1","1","8200","SD@CIN","SD","CIN","","","",""
"7968","QB","Philip","Rivers","22","1","8200","SD@CIN","SD","CIN","","","",""
"6661","QB","Peyton","Manning","5.9","1","8200","DEN@KC","DEN","KC","P","Back","",""
"21980","WR","Alshon","Jeffery","10.3","1","8100","ARI@CHI","CHI","ARI","P","Calf","",""
"6655","WR","Calvin","Johnson","4.9","1","8100","DET@MIN","DET","MIN","","","",""
"16606","WR","DeAndre","Hopkins","28.3","1","8100","HOU@CAR","HOU","CAR","","","",""
"14187","WR","A.J.","Green","8.8","1","8100","SD@CIN","CIN","SD","","","",""
"32384","WR","Mike","Evans","14.1","15","8100","TB@NO","TB","NO","Q","Hamstring","",""
"30968","RB","Eddie","Lacy","16.9","1","8100","SEA@GB","GB","SEA","","","",""
"6714","QB","Joe","Flacco","2.7","1","8100","BAL@OAK","BAL","OAK","","","",""
"6779","RB","LeSean","McCoy","10.2","1","8100","NE@BUF","BUF","NE","P","Hamstring","",""
"21948","QB","Ryan","Tannehill","11.7","1","8000","MIA@JAC","MIA","JAC","","","",""
"14211","RB","Mark","Ingram","16.2","1","8000","TB@NO","NO","TB","","","",""
