"","Player","Points","Team","Position"
"1","NEWTONCAM",23.5,"CAR","QB"
"2","WILSONRUSSELL",21.2,"SEA","QB"
"3","BRADYTOM",20.8,"NE","QB"
"4","PALMERCARSON",20.7,"ARI","QB"
"5","RODGERSAARON",20.5,"GB","QB"
"6","ROETHLISBERGERBEN",20.4,"PIT","QB"
"7","DALTONANDY",19.9,"CIN","QB"
"8","BORTLESBLAKE",19.5,"JAC","QB"
"9","WINSTONJAMEIS",19.4,"TB","QB"
"10","TAYLORTYROD",19.1,"BUF","QB"
"11","FITZPATRICKRYAN",19.1,"NYJ","QB"
"12","BREESDREW",18.8,"NO","QB"
"13","MANNINGELI",18.7,"NYG","QB"
"14","STAFFORDMATTHEW",18.7,"DET","QB"
"15","MARIOTAMARCUS",18.4,"TEN","QB"
"16","SMITHALEX",18.1,"KC","QB"
"17","TANNEHILLRYAN",17.7,"MIA","QB"
"18","CUTLERJAY",17.7,"CHI","QB"
"19","HOYERBRIAN",17.6,"HOU","QB"
"20","RIVERSPHILIP",17.3,"SD","QB"
"21","MANZIELJOHNNY",17,"CLE","QB"
"22","OSWEILERBROCK",16.3,"DEN","QB"
"23","CARRDEREK",16.1,"OAK","QB"
"24","HASSELBECKMATT",15.8,"IND","QB"
"25","RYANMATT",15.6,"ATL","QB"
"26","GABBERTBLAINE",15.5,"SF","QB"
"27","COUSINSKIRK",15.2,"WAS","QB"
"28","BRADFORDSAM",13.9,"PHI","QB"
"29","CASSELMATT",13,"DAL","QB"
"30","BRIDGEWATERTEDDY",12.9,"MIN","QB"
"31","SCHAUBMATT",11.8,"BAL","QB"
"32","FOLESNICK",11.6,"STL","QB"
"33","KEENUMCASE",3.4,"STL","QB"
"34","DAVISAUSTIN",1.5,"CLE","QB"
"35","CLAUSENJIMMY",1.1,"BAL","QB"
"36","LUCKANDREW",0.4,"IND","QB"
"37","SANCHEZMARK",0.4,"PHI","QB"
"38","WHITEHURSTCHARLIE",0.4,"IND","QB"
"39","HILLSHAUN",0.3,"MIN","QB"
"40","SMITHGENO",0.3,"NYJ","QB"
"41","MANUELEJ",0.3,"BUF","QB"
"42","METTENBERGERZACH",0.3,"TEN","QB"
"43","GAROPPOLOJIMMY",0.3,"NE","QB"
"44","MCCOYCOLT",0.3,"WAS","QB"
"45","MCGLOINMATT",0.3,"OAK","QB"
"46","HENNECHAD",0.2,"JAC","QB"
"47","ANDERSONDEREK",0.2,"CAR","QB"
"48","TOLZIENSCOTT",0.2,"GB","QB"
"49","DANIELCHASE",0.2,"KC","QB"
"50","WEEDENBRANDON",0.1,"HOU","QB"
"51","VICKMICHAEL",0.1,"PIT","QB"
"52","MOOREMATT",0.1,"MIA","QB"
"53","MCCOWNLUKE",0.1,"NO","QB"
"54","BROWNANTONIO",18.9,"PIT","WR"
"55","BECKHAMODELL",17.5,"NYG","WR"
"56","HOPKINSDEANDRE",17.1,"HOU","WR"
"57","MARSHALLBRANDON",16.5,"NYJ","WR"
"58","GREENAJ",16.2,"CIN","WR"
"59","JONESJULIO",15.9,"ATL","WR"
"60","ROBINSONALLEN",15.7,"JAC","WR"
"61","JEFFERYALSHON",15.2,"CHI","WR"
"62","JOHNSONCALVIN",14.8,"DET","WR"
"63","EVANSMIKE",14.6,"TB","WR"
"64","THOMASDEMARYIUS",14.1,"DEN","WR"
"65","FITZGERALDLARRY",14,"ARI","WR"
"66","LANDRYJARVIS",14,"MIA","WR"
"67","BRYANTMARTAVIS",13.5,"PIT","WR"
"68","AMENDOLADANNY",13.5,"NE","WR"
"69","WATKINSSAMMY",13.4,"BUF","WR"
"70","COOKSBRANDIN",13.3,"NO","WR"
"71","DECKERERIC",13.2,"NYJ","WR"
"72","MACLINJEREMY",13,"KC","WR"
"73","HILTONTY",12.8,"IND","WR"
"74","BRYANTDEZ",12.6,"DAL","WR"
"75","BALDWINDOUG",12.2,"SEA","WR"
"76","SANDERSEMMANUEL",11.8,"DEN","WR"
"77","TATEGOLDEN",11.8,"DET","WR"
"78","COOPERAMARI",11.7,"OAK","WR"
"79","CRABTREEMICHAEL",11.5,"OAK","WR"
"80","COBBRANDALL",11.3,"GB","WR"
"81","BOLDINANQUAN",11.1,"SF","WR"
"82","MATTHEWSJORDAN",10.8,"PHI","WR"
"83","BROWNJOHN",10.7,"ARI","WR"
"84","JACKSONDESEAN",10.4,"WAS","WR"
"85","JACKSONVINCENT",10.2,"TB","WR"
"86","HURNSALLEN",10.1,"JAC","WR"
"87","JONESMARVIN",10.1,"CIN","WR"
"88","PARKERDEVANTE",9.9,"MIA","WR"
"89","MONCRIEFDONTE",9.9,"IND","WR"
"90","AIKENKAMAR",9.7,"BAL","WR"
"91","LAFELLBRANDON",9.6,"NE","WR"
"92","FLOYDMICHAEL",9.6,"ARI","WR"
"93","BENJAMINTRAVIS",9.4,"CLE","WR"
"94","DIGGSSTEFON",9.3,"MIN","WR"
"95","ADAMSDAVANTE",8.9,"GB","WR"
"96","JOHNSONSTEVE",8.8,"SD","WR"
"97","LOCKETTTYLER",8.4,"SEA","WR"
"98","SHORTSCECIL",8,"HOU","WR"
"99","GREENBECKHAMDORIAL",7.9,"TEN","WR"
"100","WRIGHTKENDALL",7.6,"TEN","WR"
"101","HARTLINEBRIAN",7.5,"CLE","WR"
"102","GARCONPIERRE",7.5,"WAS","WR"
"103","AUSTINTAVON",7.4,"STL","WR"
"104","GINNTED",7.4,"CAR","WR"
"105","RANDLERUEBEN",7.4,"NYG","WR"
"106","JONESJAMES",7.1,"GB","WR"
"107","WASHINGTONNATE",7,"HOU","WR"
"108","WHEATONMARKUS",7,"PIT","WR"
"109","SNEADWILLIE",6.9,"NO","WR"
"110","CROWDERJAMISON",6.7,"WAS","WR"
"111","WOODSROBERT",6.6,"BUF","WR"
"112","FUNCHESSDEVIN",6.5,"CAR","WR"
"113","MARTINKESHAWN",6.4,"NE","WR"
"114","INMANDONTRELLE",6.4,"SD","WR"
"115","FLOYDMALCOM",5.9,"SD","WR"
"116","WILLIAMSTERRANCE",5.9,"DAL","WR"
"117","WHITERODDY",5.8,"ATL","WR"
"118","SMITHTORREY",5.7,"SF","WR"
"119","COLSTONMARQUES",5.7,"NO","WR"
"120","COLEMANBRANDON",5.7,"NO","WR"
"121","GIVENSCHRIS",5.6,"BAL","WR"
"122","BEASLEYCOLE",5.5,"DAL","WR"
"123","JOHNSONANDRE",5,"IND","WR"
"124","KEARSEJERMAINE",5,"SEA","WR"
"125","ROBERTSSETH",5,"OAK","WR"
"126","HERNDONJAVONTEE",5,"SD","WR"
"127","HARRISDWAYNE",4.9,"NYG","WR"
"128","HARDYJUSTIN",4.8,"ATL","WR"
"129","BROWNPHILLY",4.7,"CAR","WR"
"130","LEEMARQISE",4.7,"JAC","WR"
"131","STILLSKENNY",4.6,"MIA","WR"
"132","WILSONALBERT",4.6,"KC","WR"
"133","AGHOLORNELSON",4.6,"PHI","WR"
"134","WALLACEMIKE",4.4,"MIN","WR"
"135","DOUGLASHARRY",4.4,"TEN","WR"
"136","WILSONMARQUESS",4.3,"CHI","WR"
"137","BUTLERJEREMY",4.2,"BAL","WR"
"138","BRITTKENNY",4,"STL","WR"
"139","COTCHERYJERRICHO",4,"CAR","WR"
"140","ROYALEDDIE",3.9,"CHI","WR"
"141","CONLEYCHRIS",3.9,"KC","WR"
"142","HOGANCHRIS",3.8,"BUF","WR"
"143","WHALENGRIFF",3.8,"IND","WR"
"144","SANUMOHAMED",3.8,"CIN","WR"
"145","COOPERRILEY",3.7,"PHI","WR"
"146","QUICKBRIAN",3.5,"STL","WR"
"147","LATIMERCODY",3.4,"DEN","WR"
"148","BELLAMYJOSH",3.4,"CHI","WR"
"149","HUFFJOSH",3.3,"PHI","WR"
"150","WRIGHTJARIUS",3.3,"MIN","WR"
"151","WILLIAMSTYRELL",3.1,"SD","WR"
"152","WELKERWES",3.1,"STL","WR"
"153","THOMASDEANTHONY",3.1,"KC","WR"
"154","BROWNJARON",3,"ARI","WR"
"155","HOLMESANDRE",3,"OAK","WR"
"156","WALTERSBRYAN",2.9,"JAC","WR"
"157","GREENERASHAD",2.9,"JAC","WR"
"158","ENUNWAQUINCY",2.7,"NYJ","WR"
"159","KERLEYJEREMY",2.7,"NYJ","WR"
"160","CALDWELLANDRE",2.6,"DEN","WR"
"161","MOORELANCE",2.5,"DET","WR"
"162","MARIANIMARC",2.4,"CHI","WR"
"163","JANISJEFF",2.4,"GB","WR"
"164","AUSTINMILES",2.3,"PHI","WR"
"165","BROWNMARLON",2.3,"BAL","WR"
"166","NORWOODJORDAN",2.2,"DEN","WR"
"167","JOHNSONCHARLES",2.2,"MIN","WR"
"168","JENNINGSGREG",2.2,"MIA","WR"
"169","PATTONQUINTON",2.1,"SF","WR"
"170","SMITHDEVIN",2,"NYJ","WR"
"171","NICKSHAKEEM",2,"NYG","WR"
"172","ABBREDERISJARED",1.9,"GB","WR"
"173","FOWLERBENNIE",1.9,"DEN","WR"
"174","MUMPHERYKEITH",1.8,"HOU","WR"
"175","HAWKINSANDREW",1.7,"CLE","WR"
"176","FULLERCOREY",1.7,"DET","WR"
"177","THOMPKINSKENBRELL",1.6,"NYJ","WR"
"178","MOOREMARLON",1.6,"CLE","WR"
"179","WILLIAMSNICK",1.5,"ATL","WR"
"180","AVANTJASON",1.4,"KC","WR"
"181","STRONGJAELEN",1.4,"HOU","WR"
"182","HESTERDEVIN",1.4,"ATL","WR"
"183","ELLINGTONBRUCE",1.3,"SF","WR"
"184","HEYWARDBEYDARRIUS",1.3,"PIT","WR"
"185","SMITHKEVIN",1.1,"SEA","WR"
"186","GRANTRYAN",1.1,"WAS","WR"
"187","GABRIELTAYLOR",1,"CLE","WR"
"188","WHITEHEADLUCKY",1,"DAL","WR"
"189","SLATERMATT",0.9,"NE","WR"
"190","STREETDEVIN",0.8,"DAL","WR"
"191","SIMPSONJEROME",0.8,"SF","WR"
"192","BOWEDWAYNE",0.8,"CLE","WR"
"193","ROBERTSANDRE",0.7,"WAS","WR"
"194","SHEPARDRUSSELL",0.7,"TB","WR"
"195","MCCOYLESEAN",17.3,"BUF","RB"
"196","FREEMANDEVONTA",17,"ATL","RB"
"197","MARTINDOUG",16.6,"TB","RB"
"198","WILLIAMSDEANGELO",16.5,"PIT","RB"
"199","PETERSONADRIAN",16,"MIN","RB"
"200","JOHNSONDAVID",15.5,"ARI","RB"
"201","MILLERLAMAR",15.3,"MIA","RB"
"202","RAWLSTHOMAS",14.7,"SEA","RB"
"203","FORTEMATT",14.1,"CHI","RB"
"204","STEWARTJONATHAN",13.3,"CAR","RB"
"205","DRAUGHNSHAUN",13,"SF","RB"
"206","ALLENJAVORIUS",13,"BAL","RB"
"207","YELDONTJ",12.9,"JAC","RB"
"208","GURLEYTODD",12.7,"STL","RB"
"209","MCFADDENDARREN",12.7,"DAL","RB"
"210","IVORYCHRISTOPHER",12.6,"NYJ","RB"
"211","WESTCHARCANDRICK",12,"KC","RB"
"212","MURRAYLATAVIUS",11.6,"OAK","RB"
"213","GOREFRANK",11.6,"IND","RB"
"214","HILLMANRONNIE",10.6,"DEN","RB"
"215","HILLJEREMY",10,"CIN","RB"
"216","WHITEJAMES",10,"NE","RB"
"217","BERNARDGIOVANI",9.8,"CIN","RB"
"218","WOODHEADDANNY",9.6,"SD","RB"
"219","MURRAYDEMARCO",9.6,"PHI","RB"
"220","RIDDICKTHEO",9.5,"DET","RB"
"221","BLOUNTLEGARRETTE",9.2,"NE","RB"
"222","LACYEDDIE",8.9,"GB","RB"
"223","WARESPENCER",8.6,"KC","RB"
"224","SPROLESDARREN",8.6,"PHI","RB"
"225","ANDERSONCJ",8.6,"DEN","RB"
"226","STARKSJAMES",8.5,"GB","RB"
"227","LANGFORDJEREMY",8.4,"CHI","RB"
"228","JOHNSONDUKE",8.4,"CLE","RB"
"229","SIMSCHARLES",8.2,"TB","RB"
"230","ABDULLAHAMEER",8.1,"DET","RB"
"231","JONESMATT",8.1,"WAS","RB"
"232","MATHEWSRYAN",7.7,"PHI","RB"
"233","VEREENSHANE",7.6,"NYG","RB"
"234","POWELLBILAL",7.5,"NYJ","RB"
"235","SPILLERCJ",7.3,"NO","RB"
"236","ANDREWSANTONIO",7.1,"TEN","RB"
"237","GORDONMELVIN",6.9,"SD","RB"
"238","JENNINGSRASHAD",6.9,"NYG","RB"
"239","BLUEALFRED",6.9,"HOU","RB"
"240","CROWELLISAIAH",6.6,"CLE","RB"
"241","THOMPSONCHRIS",5.9,"WAS","RB"
"242","MORRISALFRED",5.8,"WAS","RB"
"243","POLKCHRIS",5.1,"HOU","RB"
"244","HERRONDANIEL",5.1,"IND","RB"
"245","HIGHTOWERTIM",5.1,"NO","RB"
"246","AJAYIJAY",5,"MIA","RB"
"247","GRIMESJONATHAN",4.9,"HOU","RB"
"248","BOLDENBRANDON",4.9,"NE","RB"
"249","BELLJOIQUE",4.5,"DET","RB"
