"","Player","Team","Points","Cost","Position"
"1","49ERSSAN FRANCISCO","SF",6.8,4300,"D"
"2","ABDULLAHAMEER","DET",13.8,6400,"RB"
"3","ADAMSDAVANTE","GB",10.1,6400,"WR"
"4","AGHOLORNELSON","PHI",6.6,5700,"WR"
"5","AIKENKAMAR","BAL",5.8,4900,"WR"
"6","AJIROTUTUSEYI","PHI",0.1,4500,"WR"
"7","ALLENDWAYNE","IND",8.8,5200,"TE"
"8","ALLENJAVORIUS","BAL",2.2,5200,"RB"
"9","ALLENKEENAN","SD",12.4,8200,"WR"
"10","AMENDOLADANNY","NE",6.7,4600,"WR"
"11","ANDERSONC.J.","DEN",14.7,8000,"RB"
"12","ANDERSONDEREK","CAR",0.4,5200,"QB"
"13","ANDREWSANTONIO","TEN",0.3,4500,"RB"
"14","ARCHERDRI","PIT",2.2,5100,"RB"
"15","ARTIS-PAYNECAMERON","CAR",3.1,5300,"RB"
"16","ASIATAMATT","MIN",8.8,4900,"RB"
"17","AUSTINMILES","PHI",3,4800,"WR"
"18","AUSTINTAVON","STL",6.3,4900,"WR"
"19","AVANTJASON","KC",1.8,4500,"WR"
"20","BAILEYDAN","DAL",9.3,5000,"K"
"21","BAILEYSTEDMAN","STL",7.5,4800,"WR"
"22","BALDWINDOUG","SEA",9.7,6000,"WR"
"23","BARNIDGEGARY","CLE",6.6,4500,"TE"
"24","BEARSCHICAGO","CHI",6.3,4000,"D"
"25","BEASLEYCOLE","DAL",6.7,5700,"WR"
"26","BECKHAM JR.ODELL","NYG",18.1,8700,"WR"
"27","BELLJOIQUE","DET",11.1,6100,"RB"
"28","BENGALSCINCINNATI","CIN",6,4600,"D"
"29","BENJAMINTRAVIS","CLE",4,5000,"WR"
"30","BENNETTMARTELLUS","CHI",11.7,6100,"TE"
"31","BERNARDGIOVANI","CIN",9.8,7000,"RB"
"32","BILLSBUFFALO","BUF",6.9,4400,"D"
"33","BLOUNTLEGARRETTE","NE",10.9,6400,"RB"
"34","BLUEALFRED","HOU",8.2,5700,"RB"
"35","BOLDENBRANDON","NE",2.8,5100,"RB"
"36","BOLDINANQUAN","SF",11.6,6400,"WR"
"37","BORTLESBLAKE","JAC",13.3,6100,"QB"
"38","BOWEDWAYNE","CLE",4,5200,"WR"
"39","BRADFORDSAM","PHI",13.7,7500,"QB"
"40","BRADYTOM","NE",16.8,8300,"QB"
"41","BREESDREW","NO",19.4,8900,"QB"
"42","BRIDGEWATERTEDDY","MIN",14.4,7000,"QB"
"43","BRINDZAKYLE","TB",6,4500,"K"
"44","BRITTKENNY","STL",9.9,5200,"WR"
"45","BRONCOSDENVER","DEN",9.7,4200,"D"
"46","BROWNANTONIO","PIT",17.4,9200,"WR"
"47","BROWNCOREY (PHILLY)","CAR",10.8,4500,"WR"
"48","BROWNDONALD","SD",3.9,4500,"RB"
"49","BROWNJARON","ARI",2,4500,"WR"
"50","BROWNJOHN","ARI",9.7,6200,"WR"
"51","BROWNJOSH","NYG",9.2,4500,"K"
"52","BROWNMARLON","BAL",3.3,4500,"WR"
"53","BROWNSCLEVELAND","CLE",6.8,4600,"D"
"54","BRYANTMATT","ATL",9.7,5000,"K"
"55","BUCCANEERSTAMPA BAY","TB",4.4,4000,"D"
"56","BULLOCKRANDY","HOU",7.7,4800,"K"
"57","BURKHEADREX","CIN",2.1,4500,"RB"
"58","BUSHREGGIE","SF",3.9,5300,"RB"
"59","CADETTRAVARIS","NE",1.5,4500,"RB"
"60","CALDWELLANDRE","DEN",0.9,4500,"WR"
"61","CAMERONJORDAN","MIA",7.6,5500,"TE"
"62","CAMPANAROMICHAEL","BAL",1.7,4500,"WR"
"63","CARDINALSARIZONA","ARI",6.9,4600,"D"
"64","CAREYKA'DEEM","CHI",1.3,5100,"RB"
"65","CARPENTERDAN","BUF",9.6,4800,"K"
"66","CARRDEREK","OAK",11,6100,"QB"
"67","CARRIERDEREK","WAS",1.4,4500,"TE"
"68","CASSELMATT","BUF",0.2,6400,"QB"
"69","CATANZAROCHANDLER","ARI",7.8,4700,"K"
"70","CELEKBRENT","PHI",5.1,4500,"TE"
"71","CELEKGARRETT","SF",1.5,4500,"TE"
"72","CHANDLERSCOTT","NE",4.3,4900,"TE"
"73","CHARGERSSAN DIEGO","SD",5.7,4300,"D"
"74","CHARLESJAMAAL","KC",18.2,8800,"RB"
"75","CHIEFSKANSAS CITY","KC",7.5,4400,"D"
"76","CLAUSENJIMMY","CHI",0.4,5300,"QB"
"77","CLAYCHARLES","BUF",7.8,4800,"TE"
"78","CLEMENSKELLEN","SD",0.9,5200,"QB"
"79","COATESSAMMIE","PIT",1,4500,"WR"
"80","COBBRANDALL","GB",10.8,8200,"WR"
"81","COFFMANCHASE","TEN",0.3,4500,"TE"
"82","COLEMANBRANDON","NO",8.3,5000,"WR"
"83","COLEMANTEVIN","ATL",10.5,6500,"RB"
"84","COLSTONMARQUES","NO",7.5,5300,"WR"
"85","COLTSINDIANAPOLIS","IND",4.1,4500,"D"
"86","CONLEYCHRIS","KC",0,4500,"WR"
"87","COOKJARED","STL",8,5200,"TE"
"88","COOKSBRANDIN","NO",11,7400,"WR"
"89","COONSTRAVIS","CLE",6.7,4500,"K"
"90","COOPERAMARI","OAK",10.7,6700,"WR"
"91","COOPERRILEY","PHI",4,4700,"WR"
"92","COTCHERYJERRICHO","CAR",4.4,5000,"WR"
"93","COUSINSKIRK","WAS",11.8,5700,"QB"
"94","COWBOYSDALLAS","DAL",6.6,4200,"D"
"95","CRABTREEMICHAEL","OAK",7.7,5500,"WR"
"96","CROSBYMASON","GB",8.7,5100,"K"
"97","CROWDERJAMISON","WAS",2,4500,"WR"
"98","CROWELLISAIAH","CLE",8.7,5800,"RB"
"99","CRUZVICTOR","NYG",3.9,6100,"WR"
"100","CUMBERLANDJEFF","NYJ",4.1,4700,"TE"
"101","CUNNINGHAMBENNY","STL",6.6,5800,"RB"
"102","CUNNINGHAMJUSTICE","STL",0.6,4500,"TE"
"103","CUTLERJAY","CHI",18.8,7200,"QB"
"104","DALTONANDY","CIN",16.2,6900,"QB"
"105","DANIELCHASE","KC",0,5400,"QB"
"106","DANIELSOWEN","DEN",6.1,5000,"TE"
"107","DARKWAORLEANS","NYG",0.2,4500,"RB"
"108","DAVISAUSTIN","CLE",0.3,5400,"QB"
"109","DAVISKELLEN","NYJ",0.6,4500,"TE"
"110","DAVISKNILE","KC",5.8,5200,"RB"
"111","DAVISMIKE","SF",1.4,4500,"RB"
"112","DAVISVERNON","SF",6.8,5100,"TE"
"113","DAWSONPHIL","SF",9,5000,"K"
