"","Player","Position","Team","projected.points","proj.source","first_name","last_name"
"1","NEWTONCAM","QB","CAR","25.38","fantasydata","CAM","NEWTON"
"2","PALMERCARSON","QB","ARI","21.96","fantasydata","CARSON","PALMER"
"3","WILSONRUSSELL","QB","SEA","19.10","fantasydata","RUSSELL","WILSON"
"4","BORTLESBLAKE","QB","JAX","18.50","fantasydata","BLAKE","BORTLES"
"5","RODGERSAARON","QB","GB","18.48","fantasydata","AARON","RODGERS"
"6","ROETHLISBERGERBEN","QB","PIT","18.30","fantasydata","BEN","ROETHLISBERGER"
"7","BREESDREW","QB","NO","18.12","fantasydata","DREW","BREES"
"8","TAYLORTYROD","QB","BUF","17.98","fantasydata","TYROD","TAYLOR"
"9","DALTONANDY","QB","CIN","17.98","fantasydata","ANDY","DALTON"
"10","MANZIELJOHNNY","QB","CLE","17.96","fantasydata","JOHNNY","MANZIEL"
"11","STAFFORDMATTHEW","QB","DET","17.88","fantasydata","MATTHEW","STAFFORD"
"12","MARIOTAMARCUS","QB","TEN","17.80","fantasydata","MARCUS","MARIOTA"
"13","FITZPATRICKRYAN","QB","NYJ","17.70","fantasydata","RYAN","FITZPATRICK"
"14","BRADYTOM","QB","NE","17.58","fantasydata","TOM","BRADY"
"15","WINSTONJAMEIS","QB","TB","17.48","fantasydata","JAMEIS","WINSTON"
"16","CUTLERJAY","QB","CHI","17.46","fantasydata","JAY","CUTLER"
"17","MANNINGELI","QB","NYG","17.44","fantasydata","ELI","MANNING"
"18","TANNEHILLRYAN","QB","MIA","17.42","fantasydata","RYAN","TANNEHILL"
"19","OSWEILERBROCK","QB","DEN","17.38","fantasydata","BROCK","OSWEILER"
"20","RYANMATT","QB","ATL","17.16","fantasydata","MATT","RYAN"
"21","SMITHALEX","QB","KC","17.12","fantasydata","ALEX","SMITH"
"22","HOYERBRIAN","QB","HOU","17.10","fantasydata","BRIAN","HOYER"
"23","GABBERTBLAINE","QB","SF","17.04","fantasydata","BLAINE","GABBERT"
"24","HASSELBECKMATT","QB","IND","16.78","fantasydata","MATT","HASSELBECK"
"25","CARRDEREK","QB","OAK","16.74","fantasydata","DEREK","CARR"
"26","COUSINSKIRK","QB","WAS","16.46","fantasydata","KIRK","COUSINS"
"27","CASSELMATT","QB","DAL","15.66","fantasydata","MATT","CASSEL"
"28","BRADFORDSAM","QB","PHI","15.58","fantasydata","SAM","BRADFORD"
"29","RIVERSPHILIP","QB","SD","14.90","fantasydata","PHILIP","RIVERS"
"30","KEENUMCASE","QB","STL","14.56","fantasydata","CASE","KEENUM"
"31","BRIDGEWATERTEDDY","QB","MIN","11.84","fantasydata","TEDDY","BRIDGEWATER"
"32","CLAUSENJIMMY","QB","BAL","9.88","fantasydata","JIMMY","CLAUSEN"
"33","SANCHEZMARK","QB","PHI","0.36","fantasydata","MARK","SANCHEZ"
"34","HENNECHAD","QB","JAX","0.32","fantasydata","CHAD","HENNE"
"35","WHITEHURSTCHARLIE","QB","IND","0.32","fantasydata","CHARLIE","WHITEHURST"
"36","DAVISAUSTIN","QB","CLE","0.32","fantasydata","AUSTIN","DAVIS"
"37","GLENNONMIKE","QB","TB","0.32","fantasydata","MIKE","GLENNON"
"38","FOLESNICK","QB","STL","0.28","fantasydata","NICK","FOLES"
