"","Player","Team","Pos","Points","proj.source"
"1","NEWTONCAM","CAR","QB","27.9","fftoday"
"2","BRADYTOM","NE","QB","24.5","fftoday"
"3","WILSONRUSSELL","SEA","QB","21.5","fftoday"
"4","FITZPATRICKRYAN","NYJ","QB","20.4","fftoday"
"5","RODGERSAARON","GB","QB","20.4","fftoday"
"6","TAYLORTYROD","BUF","QB","20.4","fftoday"
"7","DALTONANDY","CIN","QB","20.3","fftoday"
"8","BORTLESBLAKE","JAC","QB","20.0","fftoday"
"9","ROETHLISBERGERBEN","PIT","QB","19.9","fftoday"
"10","SMITHALEX","KC","QB","19.9","fftoday"
"11","MANZIELJOHNNY","CLE","QB","19.6","fftoday"
"12","BREESDREW","NO","QB","19.0","fftoday"
"13","PALMERCARSON","ARI","QB","19.0","fftoday"
"14","STAFFORDMATTHEW","DET","QB","18.8","fftoday"
"15","MANNINGELI","NYG","QB","18.6","fftoday"
"16","WINSTONJAMEIS","TB","QB","18.6","fftoday"
"17","HOYERBRIAN","HOU","QB","18.3","fftoday"
"18","TANNEHILLRYAN","MIA","QB","18.1","fftoday"
"19","HASSELBECKMATT","IND","QB","17.8","fftoday"
"20","OSWEILERBROCK","DEN","QB","17.7","fftoday"
"21","COUSINSKIRK","WAS","QB","17.5","fftoday"
"22","CUTLERJAY","CHI","QB","14.9","fftoday"
"23","GABBERTBLAINE","SF","QB","14.5","fftoday"
"24","MARIOTAMARCUS","TEN","QB","14.4","fftoday"
"25","RIVERSPHILIP","SD","QB","14.4","fftoday"
"26","CARRDEREK","OAK","QB","13.5","fftoday"
"27","RYANMATT","ATL","QB","13.4","fftoday"
"28","BRADFORDSAM","PHI","QB","13.3","fftoday"
"29","CASSELMATT","DAL","QB","13.3","fftoday"
"30","SCHAUBMATT","BAL","QB","12.9","fftoday"
"31","BRIDGEWATERTEDDY","MIN","QB","12.4","fftoday"
"32","FREEMANDEVONTA","ATL","RB","30.0","fftoday"
"33","MARTINDOUG","TB","RB","30.0","fftoday"
"34","MCCOYLESEAN","BUF","RB","30.0","fftoday"
"35","RAWLSTHOMAS","SEA","RB","29.0","fftoday"
"36","WILLIAMSDEANGELO","PIT","RB","29.0","fftoday"
"37","JOHNSONDAVID","ARI","RB","28.0","fftoday"
"38","GURLEYTODD","STL","RB","25.5","fftoday"
"39","STEWARTJONATHAN","CAR","RB","25.5","fftoday"
"40","FORTEMATT","CHI","RB","24.0","fftoday"
"41","HILLJEREMY","CIN","RB","23.5","fftoday"
"42","PETERSONADRIAN","MIN","RB","23.5","fftoday"
"43","IVORYCHRIS","NYJ","RB","21.5","fftoday"
"44","ALLENJAVORIUS","BAL","RB","20.5","fftoday"
"45","MCFADDENDARREN","DAL","RB","20.5","fftoday"
"46","YELDONTJ","JAC","RB","19.0","fftoday"
"47","WESTCHARCANDRICK","KC","RB","18.5","fftoday"
"48","MURRAYLATAVIUS","OAK","RB","18.0","fftoday"
"49","WARESPENCER","KC","RB","18.0","fftoday"
