"","Player","Points","Cost","Position"
"1","Aaron Rodgers (GB - QB)",22.9,9100,"QB"
"2","Tom Brady (NE - QB)",21.6,8700,"QB"
"3","Andrew Luck (IND - QB)",21.2,9000,"QB"
"4","Russell Wilson (SEA - QB)",20.9,8400,"QB"
"5","Ben Roethlisberger (PIT - QB)",20.7,8500,"QB"
"6","Carson Palmer (ARI - QB)",19,8100,"QB"
"7","Peyton Manning (DEN - QB) P",18.9,8200,"QB"
"8","Matt Ryan (ATL - QB)",18.8,8300,"QB"
"9","Cam Newton (CAR - QB)",18.5,7900,"QB"
"10","Eli Manning (NYG - QB)",18.4,8000,"QB"
"11","Ryan Tannehill (MIA - QB) P",18.4,8000,"QB"
"12","Philip Rivers (SD - QB)",17.9,7700,"QB"
"13","Marcus Mariota (TEN - QB)",17.4,7300,"QB"
"14","Drew Brees (NO - QB) Q",17.3,8400,"QB"
"15","Tyrod Taylor (BUF - QB) P",16.9,7000,"QB"
"16","Andy Dalton (CIN - QB)",16.8,7100,"QB"
"17","Teddy Bridgewater (MIN - QB)",16.6,6800,"QB"
"18","Colin Kaepernick (SF - QB)",16.5,7900,"QB"
"19","Sam Bradford (PHI - QB)",16.3,7200,"QB"
"20","Nick Foles (STL - QB)",16.1,6500,"QB"
"21","Ryan Fitzpatrick (NYJ - QB)",15.9,6800,"QB"
"22","Matthew Stafford (DET - QB) P",15.8,7400,"QB"
"23","Alex Smith (KC - QB)",15.6,6500,"QB"
"24","Joe Flacco (BAL - QB)",15.4,8100,"QB"
"25","Blake Bortles (JAC - QB)",15,6700,"QB"
"26","Derek Carr (OAK - QB)",14.9,6600,"QB"
"27","Jameis Winston (TB - QB)",14.6,6500,"QB"
"28","Kirk Cousins (WAS - QB)",14.5,6200,"QB"
"29","Johnny Manziel (CLE - QB) Q",14.3,6800,"QB"
"30","Ryan Mallett (HOU - QB)",14,6300,"QB"
"31","Josh McCown (CLE - QB) P",13.3,6000,"QB"
"32","Brandon Weeden (DAL - QB)",11.9,6500,"QB"
