"","Player","Points","Cost","Position"
"1","PALMERCARSON",22.2,8200,"QB"
"2","LUCKANDREW",21.4,8900,"QB"
"3","BRADYTOM",21.3,9000,"QB"
"4","RIVERSPHILIP",20.7,8000,"QB"
"5","NEWTONCAM",20.6,8100,"QB"
"6","BREESDREW",20.4,8400,"QB"
"7","RYANMATT",19.3,8100,"QB"
"8","MANNINGELI",18.7,7800,"QB"
"9","BORTLESBLAKE",18.7,7500,"QB"
"10","TANNEHILLRYAN",18,7700,"QB"
"11","STAFFORDMATTHEW",18,7400,"QB"
"12","FITZPATRICKRYAN",17.4,7100,"QB"
"13","HOYERBRIAN",16.7,6900,"QB"
"14","CARRDEREK",16.2,6700,"QB"
"15","BRADFORDSAM",15.9,7700,"QB"
"16","MCCOWNJOSH",15.8,6900,"QB"
"17","BRIDGEWATERTEDDY",15.7,6600,"QB"
"18","FLACCOJOE",15.5,7500,"QB"
"19","SMITHALEX",15.4,6800,"QB"
"20","WINSTONJAMEIS",15.2,6500,"QB"
"21","JONESLANDRY",15.1,6000,"QB"
"22","FOLESNICK",14.7,6400,"QB"
"23","METTENBERGERZACH",14.5,5900,"QB"
"24","ROETHLISBERGERBEN",13.8,8400,"QB"
"25","MANUELEJ",13.8,6600,"QB"
"26","COUSINSKIRK",12.4,6300,"QB"
"27","MARIOTAMARCUS",5.8,7000,"QB"
"28","CASSELMATT",4.2,6400,"QB"
"29","GLENNONMIKE",3.9,5100,"QB"
"30","MANZIELJOHNNY",0.6,6500,"QB"
"31","NASSIBRYAN",0.5,5500,"QB"
"32","HASSELBECKMATT",0.4,6100,"QB"
"33","CLEMENSKELLEN",0.4,5200,"QB"
"34","RENFREESEAN",0.4,4800,"QB"
"35","SANCHEZMARK",0.4,6100,"QB"
"36","STANTONDREW",0.4,5200,"QB"
"37","KEENUMCASE",0.4,4800,"QB"
"38","MALLETTRYAN",0.4,6300,"QB"
"39","ORLOVSKYDAN",0.3,5700,"QB"
"40","GAROPPOLOJIMMY",0.3,5000,"QB"
"41","MCCOYCOLT",0.3,4800,"QB"
"42","MOOREMATT",0.3,5400,"QB"
"43","WEEDENBRANDON",0.3,6400,"QB"
"44","HENNECHAD",0.3,5900,"QB"
"45","SCHAUBMATT",0.3,5300,"QB"
"46","MCCOWNLUKE",0.3,5800,"QB"
"47","ANDERSONDEREK",0.2,5200,"QB"
"48","DANIELCHASE",0.2,5400,"QB"
"49","MCGLOINMATT",0.2,5500,"QB"
"50","HILLSHAUN",0.2,5100,"QB"
"51","VICKMICHAEL",0.1,6500,"QB"
"52","JOHNSONJOSH",0,4800,"QB"
"53","HOPKINSDEANDRE",17.9,9200,"WR"
"54","JONESJULIO",16.9,9100,"WR"
"55","FITZGERALDLARRY",16.2,7800,"WR"
"56","BECKHAMODELL",15.6,9000,"WR"
"57","MARSHALLBRANDON",15.4,8200,"WR"
"58","JOHNSONCALVIN",15.3,8400,"WR"
"59","EDELMANJULIAN",15,8000,"WR"
"60","ALLENKEENAN",14.9,8100,"WR"
"61","BROWNANTONIO",14.5,8300,"WR"
"62","HILTONTY",13.7,7700,"WR"
"63","ROBINSONALLEN",13.5,7000,"WR"
"64","BROWNJOHN",13.3,6700,"WR"
"65","SMITHSTEVE",13.1,6900,"WR"
"66","LANDRYJARVIS",12.9,7100,"WR"
"67","DECKERERIC",12.1,6200,"WR"
"68","COOPERAMARI",11.9,7300,"WR"
"69","EVANSMIKE",11.7,7500,"WR"
"70","MONCRIEFDONTE",11.6,6500,"WR"
"71","MACLINJEREMY",11.6,6900,"WR"
"72","HURNSALLEN",11.4,6900,"WR"
"73","MATTHEWSJORDAN",11.1,6600,"WR"
"74","SNEADWILLIE",11,6500,"WR"
"75","BRYANTMARTAVIS",11,6900,"WR"
"76","GARCONPIERRE",10.9,6100,"WR"
"77","COOKSBRANDIN",10.8,6700,"WR"
"78","BENJAMINTRAVIS",10.8,6600,"WR"
"79","TATEGOLDEN",10.8,6700,"WR"
"80","JACKSONVINCENT",10.6,6800,"WR"
"81","DIGGSSTEFON",10.6,5800,"WR"
"82","CRABTREEMICHAEL",10,5900,"WR"
"83","WRIGHTKENDALL",9.8,5700,"WR"
"84","WALLACEMIKE",9.6,5400,"WR"
"85","MATTHEWSRISHARD",9.1,6400,"WR"
"86","CROWDERJAMISON",9,5800,"WR"
"87","AUSTINTAVON",9,5800,"WR"
"88","HANKERSONLEONARD",8.8,5700,"WR"
"89","FLOYDMICHAEL",8.5,4900,"WR"
"90","WILLIAMSTERRANCE",8.5,5900,"WR"
"91","RANDLERUEBEN",8.3,5700,"WR"
"92","WOODSROBERT",8.2,4900,"WR"
"93","GINNTED",8,5300,"WR"
"94","AIKENKAMAR",7.9,5600,"WR"
"95","AMENDOLADANNY",7.7,5400,"WR"
"96","JOHNSONANDRE",7.5,5700,"WR"
"97","HOGANCHRIS",7.2,5100,"WR"
"98","WHITERODDY",7.2,5500,"WR"
"99","BEASLEYCOLE",7.1,5200,"WR"
"100","FLOYDMALCOM",7,5400,"WR"
"101","GREENBECKHAMDORIAL",6.9,5100,"WR"
"102","JOHNSONSTEVE",6.9,5700,"WR"
"103","HUFFJOSH",6.6,5300,"WR"
"104","WASHINGTONNATE",6.1,4900,"WR"
"105","STILLSKENNY",6,5000,"WR"
"106","WALTERSBRYAN",5.9,5200,"WR"
"107","COOPERRILEY",5.9,5300,"WR"
"108","BRITTKENNY",5.7,5200,"WR"
"109","JACKSONDESEAN",5.6,5600,"WR"
"110","WILSONALBERT",5.6,4500,"WR"
"111","MOORELANCE",5.5,5400,"WR"
"112","HARRISDWAYNE",5.2,5000,"WR"
"113","PARKERDEVANTE",5,5000,"WR"
"114","BRYANTDEZ",5,8300,"WR"
"115","BAILEYSTEDMAN",5,4900,"WR"
"116","FUNCHESSDEVIN",4.8,4600,"WR"
"117","DORSETTPHILLIP",4.7,5200,"WR"
"118","HUNTERJUSTIN",4.7,4800,"WR"
"119","HAWKINSANDREW",4.7,4800,"WR"
"120","WRIGHTJARIUS",4.6,4900,"WR"
"121","CONLEYCHRIS",4.6,4800,"WR"
"122","COLSTONMARQUES",4.5,5100,"WR"
"123","HEYWARDBEYDARRIUS",4.5,4900,"WR"
"124","COTCHERYJERRICHO",4.3,4600,"WR"
"125","COLEMANBRANDON",4.2,4800,"WR"
"126","LAFELLBRANDON",4.2,6500,"WR"
"127","AGHOLORNELSON",4.1,5000,"WR"
"128","SMITHDEVIN",4,4700,"WR"
"129","STRONGJAELEN",3.9,5000,"WR"
"130","WHEATONMARKUS",3.8,4800,"WR"
"131","MARTINKESHAWN",3.7,4500,"WR"
"132","MUMPHERYKEITH",3.7,4800,"WR"
"133","BROWNPHILLY",3.6,4700,"WR"
"134","BROWNMARLON",3.5,4500,"WR"
"135","AUSTINMILES",3.5,5200,"WR"
"136","GABRIELTAYLOR",3.4,4900,"WR"
"137","INMANDONTRELLE",3.4,5100,"WR"
"138","DOBSONAARON",3.3,5000,"WR"
"139","QUICKBRIAN",3.2,4800,"WR"
"140","GRANTRYAN",3.1,4600,"WR"
"141","JENNINGSGREG",3.1,4500,"WR"
"142","HARTLINEBRIAN",3,5000,"WR"
"143","JOHNSONCHARLES",2.9,4700,"WR"
"144","OWUSUCHRIS",2.7,4700,"WR"
"145","MURPHYLOUIS",2.7,5000,"WR"
"146","THOMASDEANTHONY",2.7,4500,"WR"
"147","AVANTJASON",2.5,4500,"WR"
"148","DOUGLASHARRY",2.5,4700,"WR"
"149","ROSSJEREMY",2.4,4500,"WR"
"150","GIVENSCHRIS",2.4,4500,"WR"
"151","MOOREDENARIUS",2.4,4500,"WR"
"152","ROBERTSSETH",2.3,5100,"WR"
"153","LEEMARQISE",2.3,4600,"WR"
"154","ROBERTSANDRE",2.2,4700,"WR"
