"Player","Team","Points","Cost","Position"
"LUCKANDREW"," IND",22.27,8900,"QB"
"RIVERSPHILIP"," SD",21.38,8000,"QB"
"BREESDREW"," NO",21.25,8400,"QB"
"BRADYTOM"," NE",21.09,9000,"QB"
"PALMERCARSON"," ARI",20.64,8200,"QB"
"WILSONRUSSELL"," SEA",20.39,8100,"QB"
"RYANMATT"," ATL",19.02,8100,"QB"
"NEWTONCAM"," CAR",18.79,8100,"QB"
"MANNINGELI"," NYG",18.17,7800,"QB"
"FREEMANDEVONTA"," ATL",18.86,8700,"RB"
"STAFFORDMATTHEW"," DET",17.11,7400,"QB"
"BRADFORDSAM"," PHI",16.56,7700,"QB"
"COUSINSKIRK"," WSH",16.12,6300,"QB"
"BORTLESBLAKE"," JAC",17.23,7500,"QB"
"CARRDEREK"," OAK",15.95,6700,"QB"
"BRIDGEWATERTEDDY"," MIN",15.43,6600,"QB"
"WINSTONJAMEIS"," TB",15.68,6500,"QB"
"KAEPERNICKCOLIN"," SF",15.74,6900,"QB"
"TANNEHILLRYAN"," MIA",16.05,7700,"QB"
"HOYERBRIAN"," HOU",15.25,6900,"QB"
"BELLLEVEON"," PIT",16.39,8900,"RB"
"HOPKINSDEANDRE"," HOU",18,9200,"WR"
"PETERSONADRIAN"," MIN",15.6,8900,"RB"
"BECKHAMODELL"," NYG",17.11,9000,"WR"
"JONESJULIO"," ATL",17.36,9100,"WR"
"BROWNANTONIO"," PIT",17.36,8300,"WR"
"HILTONTY"," IND",16.8,7700,"WR"
"LYNCHMARSHAWN"," SEA",15.64,8200,"RB"
"FLACCOJOE"," BAL",14.83,7500,"QB"
"FOSTERARIAN"," HOU",15.17,8600,"RB"
"FITZPATRICKRYAN"," NYJ",14.11,7100,"QB"
"METTENBERGERZACH"," TEN",14,5900,"QB"
"IVORYCHRIS"," NYJ",13.73,7800,"RB"
"GURLEYTODD"," STL",14.12,7400,"RB"
"SMITHALEX"," KC",13.41,6800,"QB"
"MURRAYDEMARCO"," PHI",13.9,7600,"RB"
"MCCOYLESEAN"," BUF",13.55,7700,"RB"
"CASSELMATT"," DAL",13.27,6400,"QB"
"MURRAYLATAVIUS"," OAK",13.69,7000,"RB"
"EDELMANJULIAN"," NE",15.28,8000,"WR"
"MCCOWNJOSH"," CLE",12.93,6900,"QB"
"JOHNSONCHRIS"," ARI",12.96,6900,"RB"
"ALLENKEENAN"," SD",14.58,8100,"WR"
"JOHNSONCALVIN"," DET",14.51,8400,"WR"
"MARTINDOUG"," TB",12.16,7200,"RB"
"INGRAMMARK"," NO",12.42,7600,"RB"
"FORSETTJUSTIN"," BAL",12.65,7100,"RB"
"MILLERLAMAR"," MIA",12.3,6700,"RB"
"SMITHSTEVE"," BAL",13.33,6900,"WR"
"MACLINJEREMY"," KC",12.75,6900,"WR"
"FOLESNICK"," STL",10.61,6400,"QB"
"TAYLORTYROD"," BUF",9.8,7400,"QB"
"GOREFRANK"," IND",10.59,7100,"RB"
"JENNINGSRASHAD"," NYG",10.82,6300,"RB"
"BENJAMINTRAVIS"," CLE",11.45,6600,"WR"
"GRONKOWSKIROB"," NE",11.88,8100,"TE"
"COOPERAMARI"," OAK",11.78,7300,"WR"
"LANDRYJARVIS"," MIA",12.11,7100,"WR"
"FITZGERALDLARRY"," ARI",12.08,7800,"WR"
"CLAYCHARLES"," BUF",11.84,5500,"TE"
"LEWISDION"," NE",11.24,7000,"RB"
"BLOUNTLEGARRETTE"," NE",10.17,6800,"RB"
"STEWARTJONATHAN"," CAR",9.7,6700,"RB"
"ROBINSONALLEN"," JAC",11.04,7000,"WR"
"HYDECARLOS"," SF",9.8,6800,"RB"
"YELDONTJ"," JAC",9.75,6500,"RB"
"MATTHEWSJORDAN"," PHI",11.19,6600,"WR"
"MONCRIEFDONTE"," IND",10.42,6500,"WR"
"WILLIAMSTERRANCE"," DAL",10.14,5900,"WR"
"BROWNJOHN"," ARI",10.5,6700,"WR"
"COOKSBRANDIN"," NO",10.37,6700,"WR"
"ROETHLISBERGERBEN"," PIT",8.71,8400,"QB"
"MARSHALLBRANDON"," NYJ",10.35,8200,"WR"
"RANDLEJOSEPH"," DAL",9.06,6800,"RB"
"WRIGHTKENDALL"," TEN",10.53,5700,"WR"
"WOODSROBERT"," BUF",10.02,4900,"WR"
"OLSENGREG"," CAR",10.04,6400,"TE"
"GORDONMELVIN"," SD",9.11,6500,"RB"
"GRAHAMJIMMY"," SEA",10.11,6300,"TE"
"HURNSALLEN"," JAC",9.87,6900,"WR"
"CRABTREEMICHAEL"," OAK",9.72,5900,"WR"
"BRYANTMARTAVIS"," PIT",9.07,6900,"WR"
